doi,year,figure_number,image_path,historical_compatible,evaluator_compatible,evaluator_rationale,adjudicated_compatible,adjudication_rationale,reviewer,reviewed_at
10.1021/sb500241e,2015,4,images/10.1021__sb500241e__figure-4.png,True,False,"Figure 4 is cloning cartography: vector maps annotated entirely with cloning apparatus (HIS3 selection marker, CEN, Amp^r, Ori, primer-binding sites LA-F/LA-R/LB-F/LB-R, red restriction sites) plus homology overlaps showing how linker PCR fragments join minichunks to the backbone. It documents an assembly product and its cloning handles rather than specifying the composition of an engineered construct as a design.",,,,
10.1021/sb500300d,2015,3,images/10.1021__sb500300d__figure-3.png,False,True,"Panel A is a network-topology diagram of the Oligator, an engineered DNA-based circuit, showing the designed DNA templates T1, T2 and T3 and their production, inhibition and degradation interactions with the ssDNA oligomers α, β and inh. This specifies the composition and regulatory architecture of a nucleic-acid construct system and could be drawn with SBOL Visual glyphs, even though the remaining panels (B–D) are box plots and simulation traces.",,,,
10.1021/sb500300d,2015,4,images/10.1021__sb500300d__figure-4.png,False,True,"Panel A specifies the design of an engineered DNA-based circuit — a PEN-toolbox type-1 incoherent feedforward loop built from DNA templates T1–T3 and oligonucleotides U, α, inh, and Y with their activation, inhibition, and degradation interactions — which is design specification of a nucleic-acid system rather than sequence annotation or cloning cartography. The remaining panels (heatmap, box plots, time course) are data plots, but the construct-design panel counts on its own terms.",,,,
10.1021/sb500322u,2015,1,images/10.1021__sb500322u__figure-1.png,False,True,"The top panel is a linear map of an engineered Tet-ON lentiviral construct specifying its design: TRE and hPGK promoters, CDSs (MyoD variant, DsRed Express2, rtTA2S-M2, PuroR), a T2A skipping peptide, an IRES, and flanking SIN LTRs, with transcription arrows indicating expression units. That is a design specification of a nucleic-acid construct's composition and arrangement, drawable with SBOL Visual glyphs, rather than a sequence annotation or a cloning map; the protein-fusion and peptide-sequence panels below are incidental to this judgment.",,,,
10.1021/sb500322u,2015,5,images/10.1021__sb500322u__figure-5.png,False,True,"Panel A lays out two engineered lentiviral constructs as linear designs — SIN LTRs flanking an hUbC promoter driving a loxP-stuffer-loxP-luciferase cassette, and an EF1α-driven Cre cassette — specifying promoters, CDSs, recombination sites, and transcription start arrows that map directly onto SBOL Visual glyphs. This is a design specification of a Cre-dependent reporter circuit rather than sequence annotation or cloning cartography, so it counts even though panels B–E are a workflow schematic, a mechanism cartoon, and bar charts.",,,,
10.1021/sb500351f,2015,2,images/10.1021__sb500351f__figure-2.png,True,False,"Panel (a) is a CRISPR genome-editing mechanism/workflow schematic — the pCRISPomyces-2 cartoon and the chromosome line are annotated with cloning apparatus (1 kb homology arms, Cas9 cleavage sites, numbered primer-binding positions) to show excision and recombination, not to specify a construct's design; panels (b) and (c) are gel images and a colony photograph.",,,,
10.1021/sb500365m,2015,2,images/10.1021__sb500365m__figure-2.png,True,False,"Panels b, c, e, f, g and h are dose-response and fold-change data plots, while panels a and d are organized as yeast mating-pathway signal-transduction schematics (Ste2/OR1G1/GPR40 → G-protein → Ste11/Ste7/Fus3 → Ste12) whose primary purpose is mechanism. The small promoter–GFP box at the nucleus node is an incidental construct sketch attached to the pathway's terminal node rather than a design specification of the construct's composition, which the panel's pathway-organization exclusion places outside scope.",,,,
10.1021/sb500365m,2015,3,images/10.1021__sb500365m__figure-3.png,True,False,"Panels b–e are bar charts and dose-response plots, and panel (a) is a GPCR/MAPK signal-transduction mechanism schematic whose organizing structure is a protein signaling cascade; the only nucleic-acid element is the small P_Fig1-GFP reporter sketch attached as the pathway's terminal output node, which is an incidental construct sketch rather than a design specification. Under the panel's exclusion for mechanism/pathway diagrams with construct depictions hung on their nodes, Figure 3 was not counted.",,,,
10.1021/acssynbio.5b00100,2016,1,images/10.1021__acssynbio.5b00100__figure-1.png,False,True,"Panel B lays out an engineered hybrid promoter construct as a design to build — eight UAS1B repeats fused upstream of a core promoter with TATA box and ATG driving a GFP reporter CDS on a linear backbone — which is exactly the kind of part composition SBOL Visual glyphs express, and panel C presents the interchangeable UAS, proximal, TATA, and core promoter parts available for that design. Panel A's generic promoter annotation is not itself countable, but the construct depiction in B is judged on its own terms and specifies composition and arrangement rather than documenting a native sequence or a cloning product.",,,,
10.1021/acssynbio.5b00100,2016,4,images/10.1021__acssynbio.5b00100__figure-4.png,False,True,"Panel A lays out a series of engineered hybrid promoter constructs as modular parts on a linear backbone — upstream activating region, swappable TATA box element, TEF/POX2 core promoter, and downstream reporter — which is a design specification for constructs to build rather than annotation of where motifs sit in a native sequence. This part-based layout could be drawn with SBOL Visual glyphs, and the remaining panels being a strength table and fluorescence bar charts does not disqualify it.",,,,
10.1021/acssynbio.5b00100,2016,6,images/10.1021__acssynbio.5b00100__figure-6.png,False,True,"Panels A and B are linear diagrams of engineered hybrid promoter constructs, showing the modular arrangement of UAS1B8 enhancer, TATA box, TEF proximal sequence, core promoter, and downstream reporter CDS, with variants differing by which parts are swapped in or omitted. These specify designs to build rather than annotating where features sit in a native sequence, so the sequence features could be drawn with SBOL Visual glyphs.",,,,
10.1021/acssynbio.5b00100,2016,7,images/10.1021__acssynbio.5b00100__figure-7.png,False,True,"Panel A lays out an engineered expression cassette as a design to build — UAS(TEF)3 enhancer repeats, TEF core promoter, and a GFP CDS arranged along a backbone — which is directly renderable with SBOL Visual glyphs. This holds even though panel B is homologous-recombination locus cartography and the remaining panels are bar charts.",,,,
10.1021/acssynbio.5b00124,2016,1,images/10.1021__acssynbio.5b00124__figure-1.png,True,False,"The figure's organizing structure is the CIDAR MoClo cloning protocol — Type IIS restriction sites, 4 bp fusion-site overhangs, ligation steps, lacZ blue-white selection and antibiotic-resistance destination vectors — i.e., laboratory cartography and workflow rather than a design specification. The generic promoter/RBS/CDS/terminator sketches and the resulting transcriptional unit are incidental illustrations of how an assembly product is built, not the composition of a particular engineered construct.",,,,
10.1021/acssynbio.5b00127,2016,1,images/10.1021__acssynbio.5b00127__figure-1.png,False,True,"Panel B is a design diagram of the engineered synthetic oscillator circuit, showing the araC, gfp, and lacI coding sequences under the Plac/ara-1 promoter together with their regulatory interactions (repression, activation, inducer action, and ClpXP-mediated degradation), which is exactly the genetic-circuit content SBOL Visual glyphs express. The remaining panels (A schematic, C and D drive-signal plots) are not compatible on their own, but the construct depiction in panel B specifies a design rather than annotating a sequence or documenting cloning apparatus.",,,,
10.1021/acssynbio.5b00196,2016,1,images/10.1021__acssynbio.5b00196__figure-1.png,False,True,"Panel (a) lays out the gRNA expression construct as a design specification — SNR52 promoter arrow followed by the 20 nt target, gRNA structural component, and SUP4 3' flanking/terminator region, with three interchangeable spacer variants defining distinct plasmids — which is exactly the promoter/CDS/terminator arrangement SBOL Visual glyphs express. The remaining panels (AarI seamless-cloning base-pairing and the glpO target-site/recombination-template map) are excluded content, but the panel (a) construct design is judged on its own terms and counts.",,,,
10.1021/acssynbio.5b00226,2016,1,images/10.1021__acssynbio.5b00226__figure-1.png,False,True,"Figure 1 lays out the pancake permuton motif as a linear arrangement of a DNA component flanked by nested pairs of directional invertase recognition sites, specifying the composition and orientation of an engineered construct to be built rather than annotating an existing sequence or documenting cloning apparatus. Recombinase sites and components are directly representable as SBOL Visual glyphs.",,,,
10.1021/acssynbio.5b00226,2016,2,images/10.1021__acssynbio.5b00226__figure-2.png,False,True,"Each panel lays out an engineered DNA construct as a linear arrangement of invertase recognition sites (red/blue/green triangles) flanking DNA elements 1, 2, and 3 — a design specification for a recombinase-based permuton circuit that maps directly onto SBOL Visual recombination-site and inverted-region glyphs. The successive panels show the same designed construct in its post-inversion states rather than annotating a native sequence or documenting a cloning product.",,,,
10.1021/acssynbio.5b00226,2016,3,images/10.1021__acssynbio.5b00226__figure-3.png,False,True,"Figure 3 is a linear schematic of an engineered DNA construct motif, laying out directional invertase recognition sites (Correct, Link, Flip) flanking a genetic component along a backbone, with the connections to upstream and downstream components indicated. This specifies the composition and arrangement of a construct to be built — recombination sites and a component are directly renderable as SBOL Visual glyphs — rather than annotating a native sequence or documenting cloning apparatus.",,,,
10.1021/acssynbio.5b00226,2016,4,images/10.1021__acssynbio.5b00226__figure-4.png,False,True,"The figure lays out an engineered DNA construct as a design: three elements arranged on a linear backbone flanked by numbered invertase recognition sites, with the shell structure of paired sites specified, and successive panels showing the construct's configuration after each inversion. This is a design specification for a recombinase-based genetic construct—directly expressible with SBOL Visual recombinase-site and inverted-region glyphs—not a sequence annotation or cloning map.",,,,
10.1021/acssynbio.5b00237,2016,3,images/10.1021__acssynbio.5b00237__figure-3.png,False,True,"Panel A depicts the engineered expression construct itself — a pET backbone carrying the reb operon with rebA, rebB, rebC, and rebD drawn as directional CDS glyphs in their arranged order — which specifies the composition of the construct being built and expressed, content directly renderable in SBOL Visual. Its annotations are the functional coding payload rather than cloning apparatus (no markers, origins, or restriction sites), so the construct depiction counts as a design specification even though the surrounding panels are a plate photo, absorbance plot, EM micrograph, and sequence alignment.",,,,
10.1021/acssynbio.5b00242,2016,1,images/10.1021__acssynbio.5b00242__figure-1.png,False,True,"Figure 1 is a design diagram of the repressilator genetic circuit, showing the promoters pLac, pTet, and pRM together with the proteins they produce and the repression interactions between them. This is exactly the sequence-feature/functional-interaction content SBOL Visual glyphs express, even though iBioSim's own diamond/rectangle notation is used instead.",,,,
10.1021/acssynbio.5b00252,2016,2,images/10.1021__acssynbio.5b00252__figure-2.png,False,True,"Panels b and c lay out the engineered transcriptional units of the two yeast cell types as designs to build — P_FUS1-lacI, P_TEF1-lacO-αCa/αSc, and P_FUS1-GFP drawn as promoter/operator/CDS arrangements with LacI repression and pheromone receptor interactions. This is construct design specification, not sequence annotation or cloning cartography, and is directly renderable with SBOL Visual glyphs.",,,,
10.1021/acssynbio.5b00252,2016,4,images/10.1021__acssynbio.5b00252__figure-4.png,False,True,"Panel (a) is a design schematic of the engineered multicellular memory device, showing the NOT Sc, NOT Ca, and BUF Ca genetic-circuit modules and their repression/stimulation interactions mediated by the αSc and αCa pheromone species — content expressible with SBOL Visual module, molecular-species, and interaction glyphs. Panels (b) and (c) are data plots, but the circuit design panel alone qualifies the figure.",,,,
10.1021/acssynbio.5b00252,2016,6,images/10.1021__acssynbio.5b00252__figure-6.png,False,True,"Panel (a) is a schematic of the engineered multicellular memory device, laying out the composition of the consortium's genetic logic modules (NOT Sc, NOT Ca, BUF Ca) and the regulatory interactions between them and the wiring molecules (αSc, αCa, CaBar1) with repression/activation arcs. This circuit-topology specification of an engineered system is representable with SBOL Visual glyphs; panels (b) and (c) are data plots and do not affect the judgment.",,,,
10.1021/acssynbio.5b00257,2016,1,images/10.1021__acssynbio.5b00257__figure-1.png,True,False,"Panel (a) is a restriction/nicking-site annotated linker sequence plus conventional vector cartography — donor and acceptor plasmid circles annotated with cloning apparatus (Sp and Cm selection markers, ccdB counter-selection, linker/nicking sites) laid out as a recombination workflow rather than as a construct design to build. Panel (b) is a bar chart and a plate photograph, so no panel specifies the composition of an engineered construct in an SBOL Visual sense.",,,,
10.1021/acssynbio.5b00275,2016,2,images/10.1021__acssynbio.5b00275__figure-2.png,False,True,"The panels specify design choices for NOR, NOT, OR, and AND logic gates built from DNA walkers on engineered single-stranded anchorage tracks, laying out the arrangement of track elements and the blockage (inhibition) interactions between them. This is a design specification for an engineered nucleic-acid system with functional interactions, which SBOL Visual glyphs could express, rather than a sequence annotation, cloning map, or incidental mechanism sketch.",,,,
10.1021/acssynbio.6b00009,2016,1,images/10.1021__acssynbio.6b00009__figure-1.png,False,True,"All four panels depict engineered nucleic-acid constructs — buffered/active input gates, sink gate, and output gate — with their domain composition (Ba^, Bb, Bc^, Xa^, Xb, Xc^, toeholds, history domains) explicitly laid out along each strand, which is a design specification of constructs to be synthesized rather than annotation of a native sequence or cloning cartography. The reaction arrows show functional interactions between these engineered species, so the design content is a primary purpose of the figure and not an incidental sketch within a mechanism illustration.",,,,
10.1021/acssynbio.6b00056,2016,1,images/10.1021__acssynbio.6b00056__figure-1.png,True,False,"Both panels annotate native ACTB/GAPDH genomic sequences with sgRNA target sites and cleavage positions, and depict transfer vectors as cloning cartography (target site, fluorophore-2A-Puro selection cassette, insertion point) to document integration products and their orientation. The depictions report where features sit in a sequence and how an integration product was assembled rather than specifying an engineered construct's composition as a design; the remaining content is PCR gel data.",,,,
10.1021/acssynbio.6b00056,2016,2,images/10.1021__acssynbio.6b00056__figure-2.png,True,False,"Panels A and B show annotated target-sequence maps (RGN/sgRNA recognition and cleavage sites on GAPDH and TUBB sequences) plus integration-junction cartoons annotated with insertion points and primer-binding sets, alongside gel images. This documents where cut/target sites and PCR primers sit and how the integration product was verified, i.e. sequence annotation and laboratory cartography, not a specification of an engineered construct's composition; the vector itself is drawn as an unannotated box.",,,,
10.1021/acssynbio.6b00056,2016,3,images/10.1021__acssynbio.6b00056__figure-3.png,True,False,"Panels A and D are target-site sequence annotations (RGN protospacers with cut sites marked on allele sequences) combined with vector cartography — circular plasmids labeled only by selection markers (PuroR, HygroR, NeoR, BlaR) and diagrams of the resulting integration products with primer arrows — while panels B and C are gel and Western blot images. Nothing here specifies the composition or arrangement of an engineered construct as a design to build; it documents where cleavage occurs and how the integration product was assembled and screened.",,,,
10.1021/acssynbio.6b00069,2016,1,images/10.1021__acssynbio.6b00069__figure-1.png,False,True,"Panel b lays out the native and engineered photosynthesis gene clusters of Rba. sphaeroides as linear arrangements of directional CDS arrows, with bchF/C/X deleted and bchG/bchP replaced by Synechocystis chlG/chlP, which specifies the composition and arrangement of the engineered construct rather than cloning apparatus or mere sequence annotation. This content is directly drawable with SBOL Visual CDS glyphs on a backbone, so the figure counts even though the other panels are a pathway schematic, a gel, and a spectrum.",,,,
10.1021/acssynbio.6b00074,2016,1,images/10.1021__acssynbio.6b00074__figure-1.png,True,False,"Figure 1 is a laboratory workflow schematic tracing chromosome transfer between human, DT40, CHO, and recipient cells, with an inset depicting Cre-mediated recombination between a loxP acceptor site and a targeting vector. The only linear feature arrangements are cloning cartography — selection markers (TK, Hyg), split HPRT halves, loxP sites, and the resulting recombination product — documenting how the insertion is achieved rather than specifying an engineered construct's design.",,,,
10.1021/acssynbio.6b00074,2016,2,images/10.1021__acssynbio.6b00074__figure-2.png,True,False,"Figure 2 is a laboratory workflow schematic tracing the 'bottom-up' generation and cell-to-cell transfer of an alphoid-tetO HAC, and its DNA depictions are cloning cartography — a TAR-cloning vector annotated with a LAC cassette and Bsr selection marker, and targeting-vector/loxP diagrams showing 5'/3' HPRT homology arms, TK and Hyg markers, and the Cre-mediated recombination product. These document how a cloning product is assembled rather than specifying the composition of an engineered construct as a design.",,,,
10.1021/acssynbio.6b00078,2016,1,images/10.1021__acssynbio.6b00078__figure-1.png,True,False,"Panels a, b, d, e, f, g and h are polymerase-mechanism/base-pairing schematics, a gel image, and data plots, none of which carry construct design content. Panel c is a cloning flowsheet showing a gfp fragment joined to a linearized pUC19 vector to yield a 3.4 kb circle — it documents how the cloning product was assembled rather than specifying an engineered construct's composition as a design, so it falls under the cloning/vector cartography exclusion.",,,,
10.1021/acssynbio.6b00080,2016,1,images/10.1021__acssynbio.6b00080__figure-1.png,False,True,"Although Figure 1 is laid out as a method overview, its panels depict the engineered construct itself: a biosynthetic gene cluster drawn as CDS arrows on a linear backbone, and the refactored product with synthetic promoter glyphs inserted upstream of each operon. That refactored cluster specifies the composition and arrangement of the construct being built rather than annotating a sequence or documenting cloning apparatus, and it could be drawn with SBOL Visual promoter and CDS glyphs.",,,,
10.1021/acssynbio.6b00080,2016,4,images/10.1021__acssynbio.6b00080__figure-4.png,False,True,"Panel (c) specifies the design of the engineered marker-free bidirectional promoter cassettes — two sequence-orthogonal promoters flanking a 100 bp insulator, each with its -35/-10 promoter module and Shine-Dalgarno RBS laid out in arrangement order — and panels (a) and (b) likewise depict the promoter–insulator–RBS–tamI expression constructs being built. These are design specifications for constructs to assemble, not annotations of a native sequence or a cloning/vector map, so they are drawable with SBOL Visual glyphs.",,,,
10.1021/acssynbio.6b00080,2016,5,images/10.1021__acssynbio.6b00080__figure-5.png,False,True,"Panels (a) and (b) lay out the Tam gene cluster as an engineered construct, showing CDS arrows with promoter glyphs and the eight inserted bidirectional promoter cassettes that define the refactored cluster's composition and arrangement — a design specification renderable with SBOL Visual glyphs. The accompanying HPLC traces are data plots, but the construct diagrams stand on their own as design content rather than sequence annotation or cloning cartography.",,,,
10.1021/acssynbio.6b00144,2016,3,images/10.1021__acssynbio.6b00144__figure-3.png,False,True,"Figure 3 is a design specification for engineered DNA: it lays out the domain composition and arrangement of the strands and complexes (Fa, Ga1/Ga2, Da1/Da2, Ia1/Ia2, Oa) that implement the addition gate, i.e. sequence features positioned along nucleic-acid backbones plus the hybridization relationships among them. This is construct design content that could be rendered with SBOL Visual nucleic-acid glyphs, not a sequence annotation map, cloning/vector cartography, or an incidental sketch attached to some other organizing structure.",,,,
10.1021/acssynbio.6b00144,2016,10,images/10.1021__acssynbio.6b00144__figure-10.png,False,True,"Figure 10 lays out the engineered DNA strand-displacement gate complexes of the multiplication gate as designs — each species (Gm1–Gm4, Im1, Fm1, Dm1, etc.) is drawn as a specified arrangement of named nucleic-acid domains on strands, and the numbered links depict functional interactions among those constructs. This is design specification of an engineered nucleic-acid system rather than sequence annotation or cloning cartography, so it is content SBOL Visual glyphs could express.",,,,
10.1021/acssynbio.6b00144,2016,15,images/10.1021__acssynbio.6b00144__figure-15.png,False,True,"Figure 15 specifies the design of an engineered nucleic-acid device — a 2× DNA strand-displacement amplifier — by laying out the ordered domains (n5, h, n6, i, m4, i, n7 and their complements) along each designed strand and showing how strands Om1, F1, and the A1 complex are composed. This is a construct design to be built rather than annotation of a native sequence or cloning cartography, so its composition and arrangement could be expressed with SBOL Visual nucleic-acid glyphs.",,,,
10.1021/acssynbio.6b00157,2017,1,images/10.1021__acssynbio.6b00157__figure-1.png,False,True,"The top-left panel is a genetic wiring diagram of the synthetic oscillator, showing the araC, gfp, and lacI coding regions with their transcriptional activation and repression links plus inducer inputs (ARA, IPTG) — a genetic circuit design that could be rendered with SBOL Visual glyphs and interaction arrows. The remaining panels (time traces, queueing/ClpXP degradation cartoon) are not compatible, but the circuit panel is judged on its own terms.",,,,
10.1021/acssynbio.6b00170,2017,2,images/10.1021__acssynbio.6b00170__figure-2.png,False,True,"All three panels depict engineered DNA complexes at the domain level (numbered domains, toeholds, clamps, complements, fluorophore/quencher modifiers) laid out along strands, specifying the composition and arrangement of the source, delay, and reporter constructs that make up the timer circuit, plus the functional interactions among them. This is design specification of an engineered nucleic-acid system rather than sequence annotation or cloning cartography, and could be rendered with SBOL Visual glyphs.",,,,
10.1021/acssynbio.6b00184,2017,2,images/10.1021__acssynbio.6b00184__figure-2.png,False,True,"The left half of every panel (A–G) is a 'Promoter design' schematic laying out engineered synthetic promoter variants as ordered arrangements of -35 and -10 elements, ZFP/BCR-ABL1 binding sites, and defined-length spacers — a design specification of constructs to build, systematically varied and then assayed. These layouts are directly expressible with SBOL Visual promoter, operator, and spacer glyphs; the accompanying expression bar charts do not disqualify the figure since the construct depictions stand on their own as designs rather than annotations of a native sequence.",,,,
10.1021/acssynbio.6b00250,2017,1,images/10.1021__acssynbio.6b00250__figure-1.png,True,False,"Figure 1 is a single scatter plot of GFP versus RFP concentrations with error bars and a trend line, showing the correlation between expression of the two reporters. It contains no diagram of construct composition or sequence features, so there is nothing that could be drawn with SBOL Visual glyphs.",,,,
10.1021/acssynbio.6b00250,2017,3,images/10.1021__acssynbio.6b00250__figure-3.png,True,False,"Figure 3 consists solely of rendered RGB color-triangle images — a target picture plus predicted and experimental composite and per-channel (red, green, blue) pixel arrays — which are visualizations of fluorescence output data. No panel depicts sequence features, backbones, or the composition of an engineered nucleic-acid construct, so there is nothing that could be drawn with SBOL Visual glyphs.",,,,
10.1021/acssynbio.6b00250,2017,4,images/10.1021__acssynbio.6b00250__figure-4.png,True,False,"Figure 4 is a single scatter plot of protein/RNA ratio versus GC content with a linear fit, containing no diagram of construct composition or sequence features. It is purely a data plot, so there is nothing that could be rendered with SBOL Visual glyphs.",,,,
10.1021/acssynbio.6b00252,2017,4,images/10.1021__acssynbio.6b00252__figure-4.png,True,False,"Figure 4's organizing structure is a software data-structure/object graph for DNAplotlib's DNARenderer, with small rendered part sketches attached to its nodes as illustrative output; panel B is a styling-option swatch showing how opts change a glyph's color, arrowhead, and label rather than a construct laid out as a design. Neither panel communicates the composition of a specific engineered construct to be built.",,,,
10.1021/acssynbio.6b00252,2017,5,images/10.1021__acssynbio.6b00252__figure-5.png,True,False,"Figure 5 is a feature matrix table listing which styling options each renderer supports, with black squares marking support; the SBOL Visual and regulation glyphs appear only as column-header icons in a legend row, not as a construct laid out on a backbone. No panel communicates the design of an engineered nucleic-acid construct or system.",,,,
10.1021/acssynbio.6b00262,2017,1,images/10.1021__acssynbio.6b00262__figure-1.png,False,True,"Panel B lays out the engineered positive-feedback construct as a design: the divergent GAL1/GAL10 promoters driving GFP and the constitutively active Gal3c coding sequence, together with the regulatory interactions (Gal80 sequestration, Gal4 activation, feedback) among those parts. That promoter/CDS arrangement plus interaction arrows is directly expressible in SBOL Visual glyphs, and it specifies a circuit to build rather than annotating a native sequence or documenting cloning apparatus.",,,,
10.1021/acssynbio.6b00310,2017,1,images/10.1021__acssynbio.6b00310__figure-1.png,False,True,"Panel A includes a linear block diagram laying out the composition and arrangement of the engineered Ecad12rec chimeric construct (Ecad12–Cerulean–VEGFR2tail fusion), which specifies a design to build rather than annotating a native sequence or documenting cloning apparatus, and could be drawn with concatenated SBOL Visual CDS/fusion glyphs. The remaining panels (mechanism cartoon, micrographs, traces, box and bar plots) are not compatible, but the construct depiction is judged on its own terms.",,,,
10.1021/acssynbio.6b00310,2017,2,images/10.1021__acssynbio.6b00310__figure-2.png,False,True,"Panel A includes linear maps of the engineered FRBrec and FKBP12rec fusion constructs, laying out their coding segments (FRB/FKBP12, Cerulean/mRFP, VEGFR2tail) in order as a design to build, which is expressible with SBOL Visual CDS/fusion glyphs. The surrounding mechanism cartoon, micrographs, and plots do not negate that standalone construct-design depiction, and it is not a sequence annotation, cloning map, or node decoration.",,,,
10.1021/acssynbio.6b00310,2017,3,images/10.1021__acssynbio.6b00310__figure-3.png,False,True,"Panel A includes a linear block diagram of the engineered STIM1rec chimera, laying out its composition and order (STIM1–VEGFR2tail–Venus) as a design specification of a fusion construct, which is directly renderable with SBOL Visual CDS/fusion glyphs. The remaining panels (micrographs, Ca2+ traces, box and bar plots) are data, but the construct depiction in A stands on its own terms and is not a sequence annotation, cloning map, or node decoration.",,,,
10.1021/acssynbio.6b00310,2017,4,images/10.1021__acssynbio.6b00310__figure-4.png,False,True,"Panel A opens with linear part-arrangement diagrams of the two engineered chimeras (MLCKrec: MLCK–Cerulean–VEGFR2tail; CaMrec: CaM–mRFP–VEGFR2tail), which specify the modular composition and order of designed fusion constructs rather than annotating a native sequence or documenting cloning apparatus. That design depiction is a stated purpose of the panel and could be rendered with SBOL Visual CDS/fusion glyphs, so the figure counts even though panels B–F are micrographs and data plots.",,,,
10.1021/acssynbio.6b00333,2017,1,images/10.1021__acssynbio.6b00333__figure-1.png,False,True,"Panel A includes explicit linear construct diagrams (PHYB(1–908)–GS–eGFP–GS–RAB11, KIF1A MD(1–383)–mCherry–PIF6(1–100), BICD(1–500)–PIF6(1–100)) that specify the composition and arrangement of engineered fusion coding sequences as a design to build, alongside the light-induced dimerization interactions between those constructs. This is design specification rather than sequence annotation or cloning cartography, so it could be drawn with SBOL Visual CDS and interaction glyphs; the remaining micrograph and bar-chart panels do not negate the compatible panel.",,,,
10.1021/acssynbio.6b00337,2017,4,images/10.1021__acssynbio.6b00337__figure-4.png,True,False,"The figure is an annotated amino-acid sequence map of α-mating-factor secretion signals, marking pre-/pro-regions, deletion variants, and signal peptidase/KEX2/STE13 cleavage sites — sequence and protein-level annotation rather than a nucleic-acid design specification. The small 'Secretion Signal + Coding Sequence' box at the top is only an orientation cue for the sequence blow-up, not a construct composition laid out as a design to build.",,,,
10.1021/acssynbio.6b00354,2017,1,images/10.1021__acssynbio.6b00354__figure-1.png,True,False,"Figure 1 is conventional cloning and vector cartography: panel A's lower diagrams are Golden Gate/GoldenBraid/Gibson assembly workflow schematics, panel B is a binary vector map annotated with cloning apparatus (T-DNA borders, oriV+rep origin, antibiotic-resistance R genes, lacZα reporter, BsaI/BsmBI recognition sites, overhang sequences and inverse-PCR primer-binding arrows), and panel C is a bar chart of backbone sizes with origin glyphs attached. No panel specifies the composition and arrangement of an engineered construct as a design to build, so the panel's cloning/vector-map exclusion applies despite the caption noting SBOL-format glyphs.",,,,
10.1021/acssynbio.6b00391,2017,1,images/10.1021__acssynbio.6b00391__figure-1.png,False,True,"Each panel lays out an engineered nucleic-acid construct as a design — a duplex aptamer placed upstream of a promoter (recognition and unwinding regions) separated by a spacer of specified length — with the four variants differing in the deliberately chosen part spacing (DBDAP), plus interactions with thrombin and RNAP. That composition and arrangement of promoter/aptamer/spacer parts on a backbone is exactly the kind of design specification SBOL Visual glyphs could express, even though the surrounding framing is mechanistic.",,,,
10.1021/acssynbio.7b00011,2017,3,images/10.1021__acssynbio.7b00011__figure-3.png,False,True,"Panel D lays out four engineered gRNA designs as composed module arrangements (truncated guide, inducible aptamer/riboswitch, Pol II-driven, and MS2/PP7/Com aptamer insertions), and panel E depicts engineered CRISPR constructs feeding genetic logic circuits with a promoter-driven GOI cassette. These specify the composition and arrangement of engineered nucleic-acid parts as designs, which SBOL Visual glyphs could render.",,,,
10.1021/acssynbio.7b00102,2017,1,images/10.1021__acssynbio.7b00102__figure-1.png,False,True,"Figure 1's callouts specify engineered expression cassettes as designs — P_rhaBAD–mlacI, P_T7–lacO–RBS–target gene–T_T7, P_T7–RBS–gfp–T_T7, and P_tac–lacO–RBS–gfp–T_rrnB — laid out as ordered sequence features on plasmid backbones, exactly the content SBOL Visual glyphs express. The surrounding circular maps and the T7 RNAP/IPTG mechanism sketch do not negate the design-specification panels, which are a primary purpose of the figure.",,,,
10.1021/acssynbio.7b00102,2017,2,images/10.1021__acssynbio.7b00102__figure-2.png,False,True,"Panel A is a schematic of the engineered mLacI inducible system, laying out linear construct designs (P_rhaBAD–mlacI on pAR-mLacI, P_lacUV5–lacO–RBS–T7 RNAP in the DE3 region, and P_T7–RBS–gfp–terminator on pMW-GFP) together with their regulatory interactions, which is exactly the promoter/RBS/CDS/terminator composition SBOL Visual glyphs express. Panels B and C are kinetic data plots, but the construct depiction in A specifies a design to build rather than annotating a sequence or documenting cloning apparatus, so the figure counts.",,,,
10.1021/acssynbio.7b00102,2017,3,images/10.1021__acssynbio.7b00102__figure-3.png,False,True,"Panel A lays out the pAR-mLacI and pMH-GFP constructs as designs, showing promoters (P_rhaBAD, P_tac), lacO operator, RBSs, mlacI and gfp CDSs, and terminators arranged on backbones, plus the repression and expression interactions between them. That composition-and-arrangement content is directly renderable with SBOL Visual glyphs, and the surrounding kinetic plots in B and C do not negate it.",,,,
10.1021/acssynbio.7b00121,2017,1,images/10.1021__acssynbio.7b00121__figure-1.png,False,True,"The inset in panel (b) ('intracellular dynamics') is a genetic circuit diagram laying out sequence features on a backbone — a promoter, an operator/binding site, a CDS arrow and a terminator — together with production of a diffusible signalling molecule that feeds back into the construct, i.e. exactly the composition-plus-interaction content SBOL Visual glyphs express. Judged on its own terms this depiction specifies an engineered construct's design rather than annotating a native sequence or documenting a cloning product, so the figure counts even though the remaining panels are a feature table, a simulator overview and simulation plots.",,,,
10.1021/acssynbio.6b00390,2018,2,images/10.1021__acssynbio.6b00390__figure-2.png,False,True,"Figure 2 specifies the design of an engineered DNA-based circuit — two seesaw gates and a fanout gate — by laying out the named domains (S1, S2, T, toeholds and complements) along each engineered strand and showing the signal-strand interactions between them. This is a nucleic-acid construct design specification with functional interactions, not a sequence annotation, cloning map, or incidental sketch attached to another structure.",,,,
